fc_id,url,claim_short,claim_source,verdict_img,claim,date,categories
covid-19-is-at-least-an-order-of-magnitude-more-deadly-than-seasonal-flu-according-to-current-estima.html,https://healthfeedback.org/claimreview/covid-19-is-at-least-an-order-of-magnitude-more-deadly-than-seasonal-flu-according-to-current-estimates/,COVID-19 [is] less deadly than [seasonal] flu,https://archive.is/vIjuS,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,COVID-19 [is] less deadly than [seasonal] flu,27 Sep. 2020,"[""Inaccurate"", ""Lacks context""]"
covid-19-is-more-deadly-and-more-contagious-than-seasonal-flu-and-can-also-cause-long-lasting-damage.html,https://healthfeedback.org/claimreview/covid-19-is-more-deadly-and-more-contagious-than-seasonal-flu-and-can-also-cause-long-lasting-damage-to-survivors/,The coronavirus is no more deadly or dangerous than seasonal flu,https://archive.is/4rNH7,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The World Health Organization has finally confirmed […that] the coronavirus is no more deadly or dangerous than seasonal flu; WHO estimates [that] 35 million [people have been] infected with COVID-19, putting infection fatality rate at 0.14%",8 Oct. 2020,"[""Inaccurate""]"
covid-19-itself-can-cause-heart-inflammation-in-addition-to-other-problems-like-long-covid-benefits-.html,https://healthfeedback.org/claimreview/covid-19-itself-can-cause-heart-inflammation-in-addition-to-other-problems-like-long-covid-benefits-of-covid-19-vaccines-outweigh-their-risks/,"More than half of myocarditis cases caused by COVID-19 vaccines occur in those aged between 12 and 34, yet this age group has a COVID-19 recovery rate of 99.99%",https://archive.ph/mkIUC,https://healthfeedback.org/wp-content/uploads/tags/HTag_Lacks_Context.png,"Only 8.8% of all COVID-19 vaccines have been given to people between the ages of 12 and 24 - yet 52.5% of cases of vaccine-induced myocarditis and pericarditis have been in that age group. Recall, this same age group has a COVID-19 recovery rate of 99.99%.",11 Jun. 2021,"[""Lacks context""]"
covid-19-mrna-vaccines-dont-alter-dna-arent-subjected-to-federal-regulation-bioweapons-david-martin_.html,https://healthfeedback.org/claimreview/covid-19-mrna-vaccines-dont-alter-dna-arent-subjected-to-federal-regulation-bioweapons-david-martin/,We are allowing human organisms to become bioweapon factories,https://archive.ph/kvIE5,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"Humanity is being exposed to constant, forcible gene editing mRNA vaccines; mRNA vaccines are gene therapy; this is a pandemic of the bioweaponization of the human organism. This is not public health, and Anthony Fauci is the architect of this genocide; these are premeditated acts of engineered pathogenicity where we are now allowing the human organism to become a bioweapons factory itself",23 Mar. 2022,"[""Factually inaccurate""]"
covid-19-pcr-tests-are-highly-sensitive-and-specific-for-the-virus-sars-cov-2-the-majority-of-positi.html,https://healthfeedback.org/claimreview/covid-19-pcr-tests-are-highly-sensitive-and-specific-for-the-virus-sars-cov-2-the-majority-of-positive-results-are-true-positives-there-is-no-evidence-that-budesonide-or-hcq-are-useful-as-covid-19-t/,Models that predicted that COVID-19 would cause 2.2 million deaths in the U.S. were intentionally false; treatments that are 100% effective are being banned for false reasons,https://archive.ph/uaYgl,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,"Models that say that 2.2 million people will die are false, intentionally false; The PCR tests are falsely calibrated, those PCR tests are supposed to be set at 17 cycles, they are set at 40 cycles, which means the PCR tests are false; The WHO came out in January and said that at 40 cycles it’s a 100% false; The treatments that are 100% effective are being banned for false reasons; Anthony Fauci personally targeted budesonide because it was a threat; Hydroxychloroquine can be used as an effective treatment for SARS-CoV-2",21 May 2021,"[""Misleading"", ""Unsupported""]"
covid-19-related-deaths-are-indeed-caused-by-covid-19-and-not-by-contributing-health-conditions-oann.html,https://healthfeedback.org/claimreview/covid-19-related-deaths-are-indeed-caused-by-covid-19-and-not-by-contributing-health-conditions-oann/,"coronavirus itself is responsible for just 6% of all deaths listed as coronavirus-related, the others are due to pre-existing comorbidities",https://archive.is/j6ZKI,https://healthfeedback.org/wp-content/uploads/tags/HTag_Flawed_Reasoning.png,"coronavirus itself is responsible for just 6% of all deaths listed as coronavirus-related, the others are due to pre-existing comorbidities; 28,000 died from cardiac arrest, yet all of these [...] were marked down as died from the coronavirus.",27 Mar. 2021,"[""Flawed reasoning"", ""Misleading""]"
covid-19-rna-vaccines-are-safe-cannot-modify-human-dna-death-rate-in-vaccinated-people-arent-higher-.html,https://healthfeedback.org/claimreview/covid-19-rna-vaccines-are-safe-cannot-modify-human-dna-death-rate-in-vaccinated-people-arent-higher-than-in-unvaccinated-people/,"The protein then can bind to your DNA and irreversibly change it; [It] has several different type of lipids on it that have never been injected into human beings before; We could be looking at right now as many as 12,000 deaths",https://archive.is/n06L6,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The protein then can bind to your DNA and irreversibly change it; They put it in a lipid coating that has several different type of lipids on it that have never been injected into human beings before […] on the outside of that lipid coating is something called polyethylene glycol. Polyethylene glycol is known to cause big allergic reactions; It's well known that that database captures about 10 percent of adverse events so we could be looking at right now as many as 12,000 deaths""",11 Mar. 2021,"[""Factually inaccurate"", ""Lacks context"", ""Misrepresents source""]"
covid-19-test-kits-were-not-purchased-in-2017-and-2018-claim-is-based-on-mislabeled-data__.html,https://healthfeedback.org/claimreview/covid-19-test-kits-were-not-purchased-in-2017-and-2018-claim-is-based-on-mislabeled-data/,World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018,https://archive.vn/VAdYH,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018,5 Sep. 2020,"[""Inaccurate""]"
covid-19-treatments-can-improve-a-patients-survival-and-recovery-but-dont-replace-the-individual-and.html,https://healthfeedback.org/claimreview/covid-19-treatments-can-improve-a-patients-survival-and-recovery-but-dont-replace-the-individual-and-community-benefits-of-vaccination/,"Now the vaccines are no longer working; the vaccine never stopped transmission; earlier-vaccinated people experience a complete waning of the injection-induced antibodies; antibody therapy, the one option that works, is blocked by the government",https://archive.is/ljS0d,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"Now the vaccines are no longer working; the vaccine never stopped transmission — indeed, the virus is spreading more than ever in highly vaccinated areas; every day this goes on, more of the earlier-vaccinated people experience a complete waning of the injection-induced antibodies; As vaccinated [COVID-19] hospitalizations soar, government blocks the one option that works [antibody therapies]",13 Sep. 2021,"[""Flawed reasoning"", ""Misrepresents a complex reality"", ""Inadequate support""]"
covid-19-vaccine-boosters-reduce-risk-infection-hospitalization-dont-increase-risk-contrary-claims-o.html,https://healthfeedback.org/claimreview/covid-19-vaccine-boosters-reduce-risk-infection-hospitalization-dont-increase-risk-contrary-claims-of-vaccines-negative-efficacy/,"A study by Kaiser Permanente shows negative efficacy of the shots against all variants within 150 days; the more you inject, the more you infect",https://web.archive.org/web/20221018111706/https:/www.conservativereview.com/horowitz-5-shocking-new-studies-covid-shots-2658384488.html,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"A study by Kaiser Permanente shows negative efficacy of the shots against all variants within 150 days. And this study shows the more you inject, the more you infect; specifically, over time, those with three doses fare worse than those with two.",4 Oct. 2022,"[""Misrepresents source"", ""Misleading""]"
covid-19-vaccine-candidates-are-generally-safe-and-effective-at-preventing-disease-ongoing-studies-i.html,https://healthfeedback.org/claimreview/covid-19-vaccine-candidates-are-generally-safe-and-effective-at-preventing-disease-ongoing-studies-investigate-whether-the-vaccine-can-also-reduce-transmission/,They have been reducing the standards so they can pass the vaccine no matter what; It does not prevent transmission,https://archive.is/6JLhM,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"They have been reducing the standards, so they can pass the [COVID-19] vaccine no matter what; It does not prevent transmission; They are only testing it for 1 month or 2 months. You are not going to see bad side effects till maybe a year out",13 Dec. 2020,"[""Inaccurate"", ""Misleading"", ""Inadequate support""]"
covid-19-vaccine-candidates-are-rigorously-tested-for-safety-during-clinical-trials-unlike-thalidomi.html,https://healthfeedback.org/claimreview/covid-19-vaccine-candidates-are-rigorously-tested-for-safety-during-clinical-trials-unlike-thalidomide-misleading-to-equate-the-two/,Thalidomide was a rapid approved drug introduced in 1957 to counteract nausea and insomnia in pregnant women. It was [...] withdrawn in 1962 due to malformations in newborns [...] Be very careful with what’s coming.,https://archive.is/sYxZz,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,Thalidomide was a rapid approved drug introduced in 1957 to counteract nausea and insomnia in pregnant women. It was marketed in 50 countries before being withdrawn in 1962 due to malformations in newborns. Be very careful with what’s coming.,30 Nov. 2020,"[""Accurate"", ""Misleading""]"
covid-19-vaccine-candidates-show-high-efficacy-and-a-safe-profile-in-clinical-trials-contrary-to-cla.html,https://healthfeedback.org/claimreview/covid-19-vaccine-candidates-show-high-efficacy-and-a-safe-profile-in-clinical-trials-contrary-to-claims-in-viral-video/,The COVID-19 pandemic is not a real medical pandemic; The COVID-19 vaccine is not proven safe or effective,https://web.archive.org/web/20201208121019/https://brandnewtube.com/watch/ask-the-experts-covid-19-vaccine-now-banned-on-youtube-and-facebook_qIsNohSIeSgfz2J.html,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The COVID-19 pandemic is not a real medical pandemic; The COVID-19 vaccine is not proven safe or effective; It is reckless and unnecessary to roll out this essentially experimental vaccines, that use a completely new mRNA technology to millions of people when there is only limited short-term safety data, no evidence that they will prevent transmission of the virus, and no long-term safety data to rule out late-onset negative effects like autoimmune diseases, infertility, and cancer",7 Dec. 2020,"[""Factually Inaccurate"", ""Inaccurate"", ""Unsupported""]"
covid-19-vaccine-did-not-cause-the-death-of-a-portuguese-woman-contrary-to-social-media-posts-sugges.html,https://healthfeedback.org/claimreview/covid-19-vaccine-did-not-cause-the-death-of-a-portuguese-woman-contrary-to-social-media-posts-suggestions/,Portuguese nurse dies two days after getting the Pfizer Covid vaccine,https://archive.is/tC3MF,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,Portuguese nurse dies two days after getting the Pfizer Covid vaccine; Portuguese nurse dies suddenly after receiving COVID vaccine,5 Jan. 2021,"[""Misleading"", ""Inadequate support""]"
covid-19-vaccines-approved-for-emergency-use-prevent-the-disease-and-are-generally-safe-based-on-rig.html,https://healthfeedback.org/claimreview/covid-19-vaccines-approved-for-emergency-use-prevent-the-disease-and-are-generally-safe-based-on-rigorous-clinical-trials-and-ongoing-monitoring/,No one can possibly know if the [COVID-19] vaccine is safe and effective because the trial is still underway; Thousands of people who had the vaccine have died or been seriously injured by it,https://web.archive.org/web/20210209171923/https://drcharlieward.com/doctors-and-nurses-giving-the-covid-19-vaccine-will-be-tried-as-war-criminals-by-dr-vernon-coleman/,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"No one can possibly know if the [COVID-19] vaccine is safe and effective because the trial is still underway; Thousands of people who had the vaccine have died or been seriously injured by it; Legally, all those people giving vaccinations are war criminals",2 Feb. 2021,"[""Misleading"", ""Inadequate support""]"
covid-19-vaccines-are-a-much-safer-way-of-acquiring-immunity-than-infection-which-requires-exposing-.html,https://healthfeedback.org/claimreview/covid-19-vaccines-are-a-much-safer-way-of-acquiring-immunity-than-infection-which-requires-exposing-the-person-to-risks-from-the-disease/,Natural immunity is far superior to COVID-19 vaccines,https://archive.is/aiHgh,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"Natural Immunity is far superior [to COVID-19 vaccines], with 1% experiencing re-infection while 40% of new cases were previously vaccinated",17 Jul. 2021,"[""Misleading"", ""Lack of context""]"
covid-19-vaccines-are-critical-for-controlling-the-pandemic-vaccines-still-offer-partial-protection-.html,https://healthfeedback.org/claimreview/covid-19-vaccines-are-critical-for-controlling-the-pandemic-vaccines-still-offer-partial-protection-against-new-variants-of-the-virus/,"COVID-19 mass vaccination will select for more virulent variants of the virus that causes COVID-19, which will escape vaccine-induced immunity and cause more severe disease",https://archive.is/xIRj5,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"all these kinds of highly infectious variants, it's very clear, that this is driving immune escape and will ultimately drive resistance to the vaccines; prophylactic vaccines should typically not be administered to people who are exposed to high infectious pressure; when we vaccinate somebody we are turning this person into a potential asymptomatic carrier that is shedding the virus; these long-lived antibodies, which have high specificity of course for the virus, they out-compete our natural antibodies",6 Mar. 2021,"[""Inadequate support"", ""Lacks context"", ""Incorrect""]"
covid-19-vaccines-are-effective-at-preventing-illness-and-death-rare-infections-in-vaccinated-people.html,https://healthfeedback.org/claimreview/covid-19-vaccines-are-effective-at-preventing-illness-and-death-rare-infections-in-vaccinated-people-can-still-occur-as-seen-in-the-celebrity-millennium-cruise/,Passengers on first fully vaccinated [...] cruise ship test positive for COVID-19. Almost like the shot is useless.,https://archive.is/3i9oQ,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,Passengers on first fully vaccinated [...] cruise ship test positive for COVID-19. Almost like the shot is useless.,11 June 2021,"[""Misleading"", ""Flawed reasoning""]"
covid-19-vaccines-are-highly-effective-but-dont-prevent-the-disease-completely-unvaccinated-people-p.html,https://healthfeedback.org/claimreview/covid-19-vaccines-are-highly-effective-but-dont-prevent-the-disease-completely-unvaccinated-people-place-themselves-and-others-at-risk-as-a-reservoir-for-virus-spread/,'Remember to get vaccinated or a vaccinated person might get sick from the virus they got vaccinated against because you're not vaccinated',https://archive.ph/3RN0c,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,'Remember to get vaccinated or a vaccinated person might get sick from the virus they got vaccinated against because you're not vaccinated',7 Jul. 2021,"[""Misleading"", ""Lack of context""]"
covid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-.html,https://healthfeedback.org/claimreview/covid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-viral-claim-on-social-media/,The Government has released their initial plans to force a vaccine on everyone; Three potential vaccines are currently in Stage 3 trials in the United States and could be ready in weeks,https://archive.is/LGvF0,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,The Government has released their initial plans to force a vaccine on everyone; Three potential vaccines are currently in Stage 3 trials in the United States and could be ready in weeks,16 Sep. 2020,"[""Inaccurate"", ""Unsupported""]"
covid-19-vaccines-are-safer-than-the-risk-of-covid-19-infection-for-people-of-all-ages-wendy-bell-ra.html,https://healthfeedback.org/claimreview/covid-19-vaccines-are-safer-than-the-risk-of-covid-19-infection-for-people-of-all-ages-wendy-bell-radio/,COVID-19 vaccines caused as many deaths as the disease in young people,https://archive.is/Ww8m6,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,"COVID-19 vaccines caused as many deaths as the disease in young people, VAERS records COVID-19 deaths",24 May 2021,"[""Inadequate support"", ""Lack of context""]"
covid-19-vaccines-arent-associated-risk-pregnancy-complication-claim-daniel-horowitz-the-blaze__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-arent-associated-risk-pregnancy-complication-claim-daniel-horowitz-the-blaze/,The shots were not studied in pregnant women; we have seen 50 times the rate of reporting [in VAERS] per month of miscarriages for this vaccine than the other vaccines put together.,https://archive.is/ZpHKj,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The shots were not studied in pregnant women; we have seen 50 times the rate of reporting [in VAERS] per month of miscarriages for this vaccine than the other vaccines put together; there were 3,511 miscarriages reported to VAERS",11 Jan. 2022,"[""Inaccurate"", ""Inadequate support""]"
covid-19-vaccines-can-enhance-protective-immunity-in-previously-infected-people__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-can-enhance-protective-immunity-in-previously-infected-people/,Individuals with previous SARS-CoV-2 infection do not get additional benefits from vaccination,https://archive.is/11ACk,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,Individuals with previous SARS-CoV-2 infection do not get additional benefits from vaccination,8 Jun. 2021,"[""Inadequate support"", ""Lacks context""]"
covid-19-vaccines-currently-in-use-stimulate-immunity-to-the-same-degree-as-natural-infection-withou.html,https://healthfeedback.org/claimreview/covid-19-vaccines-currently-in-use-stimulate-immunity-to-the-same-degree-as-natural-infection-without-exposing-the-vaccinated-person-to-the-risks-associated-with-the-disease/,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,https://archive.is/C0e3j,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,26 Jan. 2021,"[""Misleading""]"
covid-19-vaccines-do-not-modify-the-human-genome-and-do-not-involve-hydrogels-hydrogels-are-not-inte.html,https://healthfeedback.org/claimreview/covid-19-vaccines-do-not-modify-the-human-genome-and-do-not-involve-hydrogels-hydrogels-are-not-internet-connecting-devices/,Hydrogels are part of the genome-modifying COVID-19 mRNA vaccines' delivery system; hydrogels will connect you to the internet,https://archive.is/CyaHx,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,Hydrogels are part of the genome-modifying COVID-19 mRNA vaccines' delivery system; hydrogels will connect you to the internet,16 Sep. 2020,"[""Incorrect"", ""Unsupported"", ""Misleading""]"
covid-19-vaccines-dont-affect-ovaries-or-fertility-in-general-the-vaccines-are-highly-effective-at-p.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-affect-ovaries-or-fertility-in-general-the-vaccines-are-highly-effective-at-preventing-illness-and-death/,the ovaries get the highest concentration of [lipid nanoparticles from RNA vaccines]. This turns the ovaries into a very large manufacturing plant to turn out toxic spike protein,https://archive.is/egshP,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"'Biodistribution of lipid nanoparticles which carry the mRNA show that the ovaries get the highest concentration. This turns the ovaries into a very large manufacturing plant to turn out toxic spike protein'; the benefit of the vaccine is minuscule, with less than a .5% reduction in absolute risk",25 May 2021,"[""Inaccurate"", ""Misleading""]"
covid-19-vaccines-dont-cause-herpes-infections-a-possible-association-with-the-reactivation-of-herpe.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-cause-herpes-infections-a-possible-association-with-the-reactivation-of-herpes-zoster-in-patients-with-rheumatic-diseases-remains-unconfirmed-new-york-post/,Herpes infections may be a side effect of a COVID-19 vaccine,https://archive.is/pdHwF,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,Herpes infections may be a side effect of a COVID-19 vaccine; now people are getting herpes from the [COVID-19] shot,20 Apr. 2021,"[""Inaccurate"", ""Inadequate support""]"
covid-19-vaccines-dont-contain-bacteria-hiv-vaccines-enhance-bodys-ability-respond-to-pathogens__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-contain-bacteria-hiv-vaccines-enhance-bodys-ability-respond-to-pathogens/,"The COVID-19 vaccine contains bacteria and HIV, prevents body from making new white blood cells",https://archive.is/PyH9m,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The first vaccine [has] a bunch of ingredients that are very catastrophic to your cellular system. What that does to your immune system […], it decreases the ability to produce white blood cells by 50% from your first vaccine; The booster has 81 strands of foreign bacteria that your cells have never come across, so you don’t have the antibodies to fight it; The second booster has eight strands of HIV",11 Nov. 2021,"[""Factually inaccurate""]"
covid-19-vaccines-dont-contain-magnetic-ingredients-dose-volume-is-too-small-to-contain-any-device-a.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-contain-magnetic-ingredients-dose-volume-is-too-small-to-contain-any-device-able-to-hold-a-magnet-through-the-skin/,COVID-19 vaccines contain metals or microchips that cause magnets to attach to the arm of vaccinated people,https://archive.is/Q4uMu/image,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,COVID-19 vaccines contain metals or microchips that cause magnets to attach to the arm of vaccinated people,10 May 2021,"[""Inaccurate"", ""Unsupported""]"
covid-19-vaccines-dont-hamper-the-function-of-the-immune-system-and-are-likely-to-limit-the-generati.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-hamper-the-function-of-the-immune-system-and-are-likely-to-limit-the-generation-of-variants-no-evidence-that-they-produce-more-lethal-variants/,COVID-19 vaccines are dangerous; they cause an overreaction of the immune system; they suppress the NK cells of the immune system; they promote virus lethality,https://archive.is/DYiPc,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"COVID-19 vaccines are dangerous, having killed many people and causing serious adverse effects on many more (strokes, neurological problems, allergies, blindness, paralysis); people who got the COVID-19 vaccine have been pathogenic primed, their immune system is going to overreact when in contact with the virus, causing lots of deaths; vaccines suppress the NK cells, destroying the immune system of tens or hundreds of millions who are receiving the vaccines; vaccines promote virus lethality; new virus variations are appearing in areas where the vaccine has been given to lots of people; giving the vaccines will give the virus an opportunity to become infinitely more dangerous; bodies of vaccinated people are laboratories making lethal viruses",13 Mar. 2021,"[""Inaccurate"", ""Unsupported""]"
covid-19-vaccines-dont-increase-the-incidence-of-poor-outcomes-during-pregnancy-according-to-current.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-increase-the-incidence-of-poor-outcomes-during-pregnancy-according-to-current-safety-data-on-covid-19-vaccines/,COVID-19 vaccines caused miscarriages,https://archive.vn/MJq3X,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,COVID-19 vaccines caused miscarriages,6 Feb. 2021,"[""Inadequate support""]"
covid-19-vaccines-dont-weaken-immune-system-are-unrelated-to-hiv-vb-variant-alex-jones__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-weaken-immune-system-are-unrelated-to-hiv-vb-variant-alex-jones/,The COVID-19 vaccine destroys the subject’s natural immune system; HIV VB variant is a cover up,https://web.archive.org/web/20220210125152/https:/rumble.com/vu3v5m-emergency-report-new-deadly-strain-of-hiv-tied-to-fauci-bioweapon-program.html,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,this ‘vaccine’ destroys the subject’s natural immune system […] essentially forcing citizens to give themselves AIDS; HIV variant found in the Netherlands is a cover up for weakened immunity caused by the COVID-19 vaccines,5 Feb. 2022,"[""Inaccurate""]"
covid-19-vaccines-dont-weaken-immune-system-lancet-study-misrepresented-tucker-carlson-hodgetwins__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-dont-weaken-immune-system-lancet-study-misrepresented-tucker-carlson-hodgetwins/,Lancet study showed that vaccinated people have lower immune function than unvaccinated people; COVID-19 vaccines suppress the immune system,https://perma.cc/T84H-YGAD?view-mode=server-side&type=image,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,A Lancet study showed that immune function among vaccinated individuals 8 months after the administration of two doses of COVID-19 vaccine was lower than that among the unvaccinated individuals; it's looking likely that the vaccine might suppress the immune system,21 Jul. 2022,"[""Misrepresents source"", ""Misleading""]"
covid-19-vaccines-effectively-prevent-severe-disease-havent-shown-signs-of-antibody-dependent-enhanc.html,https://healthfeedback.org/claimreview/covid-19-vaccines-effectively-prevent-severe-disease-havent-shown-signs-of-antibody-dependent-enhancement-as-claimed-by-robert-malone/,COVID-19 vaccines will make SARS-CoV-2 more dangerous due to a mechanism called antibody-dependent enhancement (ADE),https://archive.is/Y4TXa,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,The [COVID-19] vaccine causes the virus to become more infectious than would happen in the absence of vaccination; the [viral] titers in the vaccinated are actually higher than in the unvaccinated,28 Jul. 2021,"[""Inadequate support"", ""Misrepresents source""]"
covid-19-vaccines-have-enhanced-reporting-requirements-vaccine-safety-database-death-reports-cannot-.html,https://healthfeedback.org/claimreview/covid-19-vaccines-have-enhanced-reporting-requirements-vaccine-safety-database-death-reports-cannot-simply-compare-other-vaccines/,More people have been killed by the COVID vaccines in the last 20 months than all the other vaccines in the world over the last thirty years combined.,https://web.archive.org/web/20221102234139/https://twitter.com/PearsonSharp/status/1587508447955677185,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"According to the CDC’s own tracking data, which is recorded by doctors and hospitals, more people have been killed by the COVID vaccines in the last 20 months, than all the other vaccines in the world over the last thirty years combined.",1 Nov. 2022,"[""Inadequate support"", ""Lack of context""]"
covid-19-vaccines-protect-individuals-from-developing-the-disease-and-are-necessary-tools-to-end-the.html,https://healthfeedback.org/claimreview/covid-19-vaccines-protect-individuals-from-developing-the-disease-and-are-necessary-tools-to-end-the-pandemic-along-with-physical-distancing-measures/,There is no reason to get COVID-19 vaccines because vaccinated people can still get sick and are still required to wear masks,https://archive.is/HSO4u,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,There is no reason to get COVID-19 vaccines because vaccinated people can still get sick and are still required to wear masks,8 Feb. 2021,"[""Factually inaccurate"", ""Misleading"", ""Misleading""]"
covid-19-vaccines-protect-people-from-severe-covid-19-and-dont-weaken-the-immune-system-the-expose__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-protect-people-from-severe-covid-19-and-dont-weaken-the-immune-system-the-expose/,Worldwide Data suggests Fully Vaccinated [people] are developing Acquired Immunodeficiency Syndrome,https://archive.md/eRFKg,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,"Worldwide Data suggests Fully Vaccinated Americans, Australians, Brits, Canadians, & Germans are developing Acquired Immunodeficiency Syndrome; The Canadian study found that the vaccines offer NO medium term protection against Omicron; their vaccinated populations immune system capability has been decimated when compared to the not-vaccinated population",22 Jan. 2022,"[""Misleading"", ""Fails to grasp significance of observation""]"
covid-19-vaccines-provide-benefits-ssrn-preprint-didnt-find-vaccines-98-times-worse-than-virus__.html,https://healthfeedback.org/claimreview/covid-19-vaccines-provide-benefits-ssrn-preprint-didnt-find-vaccines-98-times-worse-than-virus/,Covid-19 Vaccines 98 Times Worse Than the Virus,https://web.archive.org/web/20220913083113/https://www.thegatewaypundit.com/2022/09/ethically-unjustifiable-new-harvard-johns-hopkins-study-found-covid-19-vaccines-98-times-worse-disease/,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,Scientists from Harvard & Johns Hopkins Found Covid-19 Vaccines 98 Times Worse Than the Virus; Vaccine Narrative Collapses as Harvard Study Shows Jab More Dangerous than COVID,12 Sep. 2022,"[""Misrepresents source""]"
covid-19-vaccines-received-emergency-use-authorization-from-the-fda-after-clinical-trials-demonstrat.html,https://healthfeedback.org/claimreview/covid-19-vaccines-received-emergency-use-authorization-from-the-fda-after-clinical-trials-demonstrated-that-they-are-safe-and-effective-covid-19-vaccines-arent-experimenta/,Not one [COVID-19] vaccine is FDA approved. [...] They are all experimental.,https://www.facebook.com/joseph.castaneda.543/posts/4177972675569191,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,Not one [COVID-19] vaccine is FDA approved. [...] They are all experimental. You are in the experiment,8 Mar. 2021,"[""Misleading""]"
covid-19-vaccines-reduce-risk-death-contrary-to-mark-steyns-misleading-interpretation-mortality-data.html,https://healthfeedback.org/claimreview/covid-19-vaccines-reduce-risk-death-contrary-to-mark-steyns-misleading-interpretation-mortality-data-gb-news/,[T]he peak of vaccine mandates in America […] coincides with massive excess mortality among people in the prime of life,https://web.archive.org/web/20220825140602/https:/www.youtube.com/watch?v=gkQ7LsHPASA,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"Anything going on in the third quarter of 2021? Well, that was actually the peak of vaccine mandates in America […] And oddly enough, that coincides with massive excess mortality among people in the prime of life",24 Aug. 2022,"[""Inadequate support"", ""Flawed reasoning""]"
